"gene_symbol","err_positive","control_positive","log_fc","fdr","ave_expr"
"CB4H22orf23",FALSE,FALSE,-0.93620540813089,0.0652362185618145,4.52110510696231
"CBFA2T2",TRUE,FALSE,-0.738696428190811,0.00955892405428235,5.01256738666351
"CBL",FALSE,FALSE,-0.485407372327018,0.0401684043180011,6.77242284732134
"CBLN2",FALSE,FALSE,-1.48651860229348,0.0373507607449843,3.89509128534135
"CBLN3",FALSE,FALSE,-1.6973136482327,0.0467763296809989,0.933731510869371
"CBR4",FALSE,FALSE,-1.27624406827438,0.033230079537272,3.8112437600733
"CBWD1",FALSE,FALSE,-0.372783397648976,0.0902923751831659,5.1359025979881
"CC2D2A",FALSE,FALSE,-0.498231740745784,0.0905379690085968,4.75490903740971
"CCDC113",FALSE,TRUE,-1.01582262745778,0.0300762960446415,1.03899173672379
"CCDC117",FALSE,FALSE,-0.609357411252056,0.0594339467774332,5.51853177421229
"CCDC13",FALSE,TRUE,-0.84665824880433,0.083467625260201,3.33749959481244
"CCDC14",FALSE,FALSE,-0.395493753167925,0.0427885669055783,2.61603205568264
"CCDC148",FALSE,FALSE,-1.21753997093155,0.0235966736003824,1.98430549345564
"CCDC186",FALSE,TRUE,-0.579419279669571,0.0673652940568613,4.83690150142694
"CCDC198",FALSE,FALSE,-1.01186819212417,0.0279522207023429,5.96661113106196
"CCDC3",FALSE,FALSE,-0.501775456029477,0.0802156407783073,4.79398408900775
"CCDC30",FALSE,FALSE,-1.0976204753258,0.00817717939691887,2.75658838489756
"CCDC32",FALSE,FALSE,-0.289780698129053,0.0360642996636282,4.29040565722536
"CCDC51",FALSE,TRUE,-0.465199791335557,0.052392427791227,4.09645544117916
"CCDC57",FALSE,TRUE,-0.403267594021831,0.0479043790848942,4.01306044587903
"CCDC6",FALSE,FALSE,-0.472682980477748,0.0574345108817658,5.84691503556819
"CCDC8",FALSE,FALSE,-1.05492069808097,0.020591693683016,3.66782487286977
"CCDC85C",FALSE,TRUE,-0.784202548514725,0.0438777087137014,5.13066600791375
"CCDC93",FALSE,TRUE,-0.459371675920552,0.019406632149406,4.77531065539597
"CCKBR",FALSE,FALSE,-2.2200140552489,0.0712114431419331,0.604338588819323
"CCNG2",FALSE,FALSE,-0.80923596189522,0.011073244496898,5.09564315607984
"CCNI",FALSE,FALSE,-0.864880139413978,0.0168068418151155,8.76808243458238
"CCNQ",FALSE,FALSE,-0.418225048142651,0.0329402684979445,4.83994123549496
"CCNY",FALSE,FALSE,-0.319082655198144,0.0703363210033533,6.02922445886867
"CCS",FALSE,TRUE,-0.43385824320058,0.0742409223327262,5.43409590146698
"CCSER1",FALSE,FALSE,-0.822290139586355,0.0214522795342223,1.36400335714066
"CCT3",FALSE,FALSE,-0.43902219192035,0.0334939647966803,7.80723118967657
"CCT4",FALSE,FALSE,-0.383165908870409,0.0298145721105701,6.8348715414088
"CCT6A",FALSE,FALSE,-0.302378201445632,0.0965751364943038,7.1457002203547
"CD2H10orf143",FALSE,FALSE,-0.339030505594049,0.0460649441563346,4.35905805880972
"CD3H18orf21",FALSE,FALSE,-0.888533909908785,0.0180652427067034,3.85088502115078
"CD4H9orf116",FALSE,FALSE,-0.86574853748713,0.00522492515049978,3.35621686037714
"CD4H9orf43",FALSE,FALSE,-1.29719358689151,0.0322349824795049,2.58504524499103
"CD4H9orf64",FALSE,FALSE,-1.00966226657335,0.033601669700774,5.53874823380382
"CD99L2",FALSE,FALSE,-0.329638807225604,0.0219621703904118,5.5842952716449
"CDC123",FALSE,FALSE,-0.269645192227014,0.060224454102555,5.57787370628943
"CDC14A",FALSE,FALSE,-0.41005815540171,0.0759794276814598,4.37798648931288
"CDC26",FALSE,FALSE,-0.311921967155294,0.0802156407783073,4.59361922789549
"CDC42BPG",FALSE,TRUE,-0.346155797961291,0.0815001702814679,6.47229146946987
