"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"AP2A1",0.373737156171781,0.0130218261441627,5.333,0,6.977,3,"induced"
"AP2B1",-0.376657646573983,0.283142111017102,7,0,10.105,1,"unchanged"
"AP2M1",-0.341116923632139,0.0657635845999211,4,0,5.051,2,"repressed"
"AP2S1",-0.14377811005604,0.411266442637269,3,0,3.375,1,"unchanged"
"AP3B2",0.196597579710105,0.652054689899999,5,0,5.429,1,"unchanged"
"AP3M1",-0.138888138541335,0.529807390794585,4.5,0,8.772,2,"unchanged"
"AP3S2",0.28955382430169,0.10244564166505,2,0,2.82,2,"unchanged"
"AP4B1",0.0698905237723118,0.708576248435495,4,0,3.629,2,"unchanged"
"AP5S1",-0.187554108775327,0.371605844888968,6,0,3.527,1,"unchanged"
"AP5Z1",0.23256161355045,0.36085185528079,6,0,6.338,1,"unchanged"
"APCDD1L",-0.855643028604491,0.25903796683896,1.5,0.875,4.22,8,"unchanged"
"APH1B",-0.490883813535169,0.073067683646693,1,1,3.87,2,"repressed"
"APLN",0.468738346195134,0.594987595586305,7,0,4.447,1,"unchanged"
"APLNR",-1.35306430122177,0.0216664626047202,3,0,5.214,1,"repressed"
"APLP1",0.239005648136422,0.30108930704601,5,0,4.006,1,"unchanged"
"APOA1",-0.643633415260465,0.212244431857492,4.167,0.083,4.837,12,"unchanged"
"APOA2",-0.981330940884284,0.267471173250258,2.667,0,3.527,3,"unchanged"
"APOD",-1.58146971162826,0.103103030735827,1.333,0.667,3.221,3,"unchanged"
"APOE",2.09907652702325,0.0150902539286614,5.5,0,5.521,2,"induced"
"APOM",-1.0701605855955,0.0315568329668015,5,0,5.183,1,"repressed"
"APP",-0.469314879845472,0.041160933909829,2.267,0.467,3.978,15,"repressed"
"AQP2",-2.26241095151202,0.00989188249063757,4,0,4.155,2,"repressed"
"AQR",-0.110020567250061,0.558945997119298,7,0,12.847,1,"unchanged"
"AR",-0.650145508233849,0.0253403753585061,2,0,4.58,1,"repressed"
"ARAF",-0.14313043012501,0.280015092869863,6,0,7.745,2,"unchanged"
"ARAP1",0.730310333952177,0.0872588914099609,4.8,0,2.975,5,"induced"
"ARAP3",-0.144577597549187,0.552154032931334,4,0,5.674,1,"unchanged"
"ARCN1",-0.16631271419065,0.35429213218277,2,0,2.914,1,"unchanged"
"AREL1",0.13803183145928,0.192923281589666,5,0,4.494,1,"unchanged"
"ARF1",-0.0705887529545155,0.683162628141887,4.286,0,4.207,7,"unchanged"
"ARF3",-0.406236978218957,0.0550536939757532,5,0,4.809,1,"repressed"
"ARFGAP1",-0.109357444744007,0.568606657445355,3,0,4.29,1,"unchanged"
"ARFGAP2",0.0250998656223453,0.859372428875183,1,1,3.427,1,"unchanged"
"ARFGAP3",-0.526264514346717,0.0617977261689919,5,0,3.374,1,"repressed"
"ARFGEF1",-0.483468303733271,0.0862132178823082,1.25,0.75,5.044,4,"repressed"
"ARFIP2",-0.17007207736819,0.202465073416406,4.5,0,9.16,2,"unchanged"
"ARGLU1",-0.0682972151511088,0.753789514895283,2,0.25,3.94,4,"unchanged"
"ARHGAP1",0.0546687415013514,0.618720886188943,1,1,2.525,1,"unchanged"
"ARHGAP12",-0.657758989822572,0.0352819899290747,4,0,3.444,1,"repressed"
"ARHGAP17",-0.334931840301889,0.457454846802847,3.214,0.286,5.293,14,"unchanged"
"ARHGAP19",-0.389788723311242,0.0813881004750893,4.8,0,6.01,5,"repressed"
"ARHGAP21",-0.0383668140360989,0.830082942294495,3.143,0.143,2.957,7,"unchanged"
"ARHGAP23",0.25549112977354,0.423646451711236,2,0,3.681,1,"unchanged"
"ARHGAP26",-0.188593363707958,0.305886122864523,3.391,0.13,3.83,23,"unchanged"
"ARHGAP28",-0.852293561532055,0.124673652499447,7,0,15.183,1,"unchanged"
"ARHGAP29",-0.234048250237775,0.220278314696632,1.786,0.571,3.633,28,"unchanged"
"ARHGAP31",-0.161288751398448,0.673048278435904,4.333,0,6.493,6,"unchanged"
"ARHGAP4",1.07099165636355,0.0779492930517884,2,0,3.221,3,"induced"
"ARHGAP42",0.441954652040748,0.167350858517415,2.333,0.333,3.936,3,"unchanged"
"ARHGAP8",-0.416963909261543,0.198803570807015,2,0,3.834,1,"unchanged"
"ARHGAP9",1.9918232626692,0.0464221673467313,5,0,3.834,1,"induced"
"ARHGDIB",0.87844671144601,0.0201736378098692,6,0,8.281,1,"induced"
"ARHGEF10",-0.0582670743633891,0.849962843025564,6,0,5.214,1,"unchanged"
"ARHGEF15",-0.32662739323823,0.208595156921936,3,0,2.914,1,"unchanged"
"ARHGEF19",0.75304971792538,0.0768245224267528,6,0,5.741,3,"induced"
"ARHGEF39",0.245305644056971,0.469966369755477,6.5,0,6.433,2,"unchanged"
"ARHGEF5",0.911491347452779,0.0115477696540253,7,0,6.509,1,"induced"
"ARHGEF6",0.435378095404486,0.27371115542112,5.5,0,8.435,2,"unchanged"
"ARHGEF9",-0.44618518395961,0.214324237796564,7,0,9.815,1,"unchanged"
"ARID1B",0.037461487035519,0.735826558468744,6.5,0,15.599,2,"unchanged"
"ARID3C",1.3548524412639,0.0227279084675919,1.5,0.5,3.82,2,"induced"
"ARID5A",1.05896184569099,0.0238398305065977,7,0,9.327,1,"induced"
"ARL1",-0.113642281214894,0.480329491544268,1,1,4.294,1,"unchanged"
"ARL11",2.6174478936031,0.0208951630649627,2.333,0,3.783,3,"induced"
"ARL3",-0.184495625600604,0.267060213784614,2,0,4.339,1,"unchanged"
